Activity ID,Activity Type,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Gear,Athlete Weight,Bike Weight,Moving Time,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Max Cadence,Average Cadence,Max Heart Rate.1,Average Heart Rate,Calories,Relative Effort.1,Commute.1,Year,Pace,COVID_Period,Elevation_Group,Week,Year_Week
4650760399,Run,1476,5.0,166.0,70.0,False,,,,1476,4.2,3.391,0.0,0.0,803.6,803.6,0.0,0.0,99.0,93.0,,161.0,339.0,70.0,0.0,2021,4.92,COVID,Low,3,2021-3
2527299171,Run,2672,7.28,139.0,13.0,False,,68.7,,2613,9.5,,197.0,119.0,791.1,813.3,3.5,0.0,93.0,88.0,139.0,120.0,407.0,13.0,,2019,5.982142857142857,Pre-COVID,High,28,2019-28
3411716445,Run,4240,11.55,133.0,23.0,False,,67.4,,4240,3.9,2.725,21.8,335.0,794.3,809.2,3.9,0.0,101.0,92.0,133.0,121.0,509.0,23.0,0.0,2020,6.118326118326118,COVID,Low,19,2020-19
10428177334,Run,8196,22.03,147.0,82.0,False,ASICS Kayano 29 Asics K29,,,8162,4.122,2.7,37.3,460.0,792.9,805.3,5.5,0.0,98.0,92.0,,132.0,1536.0,82.0,0.0,2023,6.174912997427749,Post-COVID,High,51,2023-51
15474041110,Run,8053,21.21,149.0,75.0,False,New Balance 1080 V14 NB 1080 V14,,,7935,3.88,2.673,30.2,347.0,793.0,799.3,3.9,0.0,98.0,91.0,149.0,130.0,1481.0,75.0,0.0,2025,6.235266383781235,Post-COVID,High,33,2025-33
10681629113,Run,3606,11.2,167.0,74.0,False,Nike Infinity FK3 Nike Infinity FK3 ,,,3599,4.321,3.113,16.3,218.0,794.6,798.7,3.4,0.0,96.0,92.0,,142.0,757.0,74.0,0.0,2024,5.355654761904763,Post-COVID,Low,5,2024-5
10041746792,Run,3934,10.24,144.0,25.0,False,,,,3917,4.514,2.616,15.2,224.0,792.7,798.8,4.9,0.0,97.0,91.0,,129.0,716.0,25.0,0.0,2023,6.375325520833333,Post-COVID,Low,41,2023-41
4411330361,Run,3746,11.31,151.0,74.0,False,,,,3735,4.1,3.03,28.3,223.0,792.2,805.5,5.5,0.0,107.0,91.0,,139.0,743.0,74.0,0.0,2020,5.503978779840849,COVID,High,49,2020-49
5851874549,Run,1897,5.0,132.0,8.0,False,,,,1897,3.9,2.639,13.4,159.0,794.9,805.9,2.2,0.0,98.0,87.0,,124.0,347.0,8.0,0.0,2021,6.323333333333333,COVID,Low,34,2021-34
3205720446,Run,3607,10.14,129.0,18.0,False,,67.4,,3607,4.0,2.814,116.9,332.0,794.0,856.8,8.5,0.0,97.0,89.0,129.0,120.0,554.0,18.0,0.0,2020,5.928665351742275,COVID,High,12,2020-12
